country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,0.0275323668,0.0300271196,0.0319028469,0.0383597992,0.0385399495,0.0383360639,0.0397743992,0.0632535514,0.111760517,0.108905077,0.108776771,0.0473221075,0.0312247935,0.0309510365,0.0299079095,0.0260389625,0.0246123789,0.0237169905,0.0226788105,0.0226458746,0.0198322117,0.0163419469,0.0152318022,0.018818609,0.0178270979,0.0227342514,0.0280641696,0.0350382787,0.0581461752,0.096181993,0.11938371,0.160654318,0.147714237,0.123743791,0.113764752,0.125947426,0.13716179
Albania,0.162006203,0.161111796,0.163452164,0.167262148,0.169799657,0.169093007,0.166582804,0.166435467,0.169201171,0.16141803,0.11519273,0.0958720033,0.0841955526,0.073201611,0.0699599759,0.0779543844,0.0846979755,0.0785151014,0.0847252169,0.0772071998,0.0980195171,0.0936065985,0.101638329,0.114120632,0.121429611,0.120507246,0.111925114,0.0979326461,0.10642438,0.115987938,0.128290933,0.106119661,0.105394281,0.12833692,0.11639143,0.116566021,0.123830648
Algeria,0.785435786,0.667751229,0.976265482,1.074399584,1.148359305,1.050719371,1.073800371,1.14933362,1.223927158,1.179857321,1.212615108,1.354111973,1.303266737,1.197692449,1.235214049,1.289116384,1.257701479,1.204442667,1.250090841,1.246501921,1.270023807,1.275945001,1.318907588,1.329435813,1.302261792,1.498570765,1.572292615,1.558859587,1.686018342,1.783483519,1.794157563,1.939508361,2.11305401,2.039024774,2.294537986,2.33834847,2.355316377
American Samoa,0.006,0.007,0.01,0.006,0.007,0.007,0.006716584,0.00697300887,0.00677881425,0.00780619127,0.00842107654,0.00842107654,0.0088910374,0.00843239154,0.00800716654,0.00779097077,0.0078116067,0.00800716654,0.00800716654,0.008007187,0.00783710312,0.00783710312,0.00796731161,0.00796731161,0.00796731161,0.0089269627,0.0086069555,0.0086069555,0.0086305362,0.0086069555,0.0086069555,0.0049115089,0.00492496563,0.0049115089,0.0049115089,0.0049115089,0.00498638769
Angola,0.0577704417,0.0579672914,0.0622124028,0.0654400109,0.059392,0.0724902,0.072812152,0.074394417,0.0771766576,0.075008753,0.0797486323,0.083420484,0.0847319409,0.0831640926,0.081063735,0.0868010466,0.0837520008,0.0939884607,0.0853587058,0.0936475556,0.111223229,0.12004112,0.127710989,0.141897632,0.157084259,0.133746805,0.169384488,0.193559427,0.227171969,0.25855403,0.279244663,0.294645721,0.328756792,0.347379502,0.372059583,0.383570718,0.360949782
Antarctica,0.002,0.002,0.002,0.002,0.003,0.003,0.0027639625,0.0027639625,0.00298473,0.0027639625,0.002976575,0.002976575,0.00298473,0.002976575,0.002976575,0.003378375,0.00339585,0.003378375,0.003378375,0.003378375,0.003344357,0.003518175,0.003518175,0.003518175,0.003605084,0.003625082,0.003624922,0.003711761,0.000316526102,0.000420878037,0.000420862037,0.000420702037,0.000387639869,0.000386608537,0.000386593037,0.000391157037,0.000415339744
Antigua and Barbuda,0.006,0.005,0.007,0.004,0.005,0.005,0.00462439407,0.0057559174,0.00577131119,0.0057559174,0.0059685299,0.0059476519,0.00596357099,0.0059476519,0.00673443879,0.0067884294,0.00680665199,0.0069953844,0.0069953844,0.0069954036,0.00757860426,0.00757860426,0.00781466794,0.00842754996,0.00851916111,0.00864945013,0.00891456384,0.00968479614,0.00955692508,0.0100260103,0.00967962616,0.00964949929,0.00991665398,0.00991665398,0.0102846048,0.0107203528,0.0108941898
Argentina,1.645385335,1.602393746,1.680638888,1.70204673,1.841857974,1.751492931,1.904688989,1.952975732,1.965886439,1.942857044,1.884408753,1.972029549,2.046859718,2.211118116,2.2375658,2.306502209,2.391515259,2.457241286,2.568074566,2.557803744,2.765446935,2.714656564,2.553975302,2.769136902,2.976640601,3.128964796,3.326176996,3.38582107,3.517413329,3.433714746,3.57310424,3.652854525,3.718580301,3.772710673,3.787929171,3.816773288,3.693696135
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0.195854668,0.149475119,0.134903351,0.132223625,0.167870829,0.14227253,0.150657367,0.0926300413,0.100544563,0.0981870716,0.0948478977,0.103363108,0.108257302,0.124341223,0.124130526,0.139936707,0.135689802,0.120790152,0.13464519,0.141017576,0.149094907,0.146793588,0.149895081,0.136669984,0.138131107
Aruba,--,--,--,--,--,--,0.001907736,0.001907736,0.00557015254,0.007808999,0.0078206752,0.00853130626,0.0097420272,0.009521171,0.0108931738,0.0118234399,0.00779257774,0.0126023499,0.0126023499,0.012602367,0.0151453819,0.0155959118,0.01624324,0.0179529783,0.0187219944,0.020435936,0.0203589003,0.0207944613,0.0195341507,0.0196570355,0.0185284439,0.0149856584,0.0181595824,0.017833915,0.0182941956,0.0182182544,0.0184263244
Australia,2.767019466,2.907385791,3.071848467,2.984850875,3.06692727,3.149834646,3.290511978,3.464830631,3.376573572,3.720244163,3.853006327,3.769593363,3.847840303,3.889210013,3.945053377,4.150782606,4.276546948,4.335450861,4.526612022,4.599941641,4.642247293,4.844912413,4.945131132,4.941750233,5.061144842,5.19017986,5.309193611,5.520582862,5.450711355,5.584535488,5.264381969,5.690469991,5.725893525,5.726781001,5.744000172,5.805566824,5.988489399
Austria,1.115915271,1.104724946,1.055984381,1.061951863,1.09173607,1.116115442,1.097249261,1.047842524,1.131018371,1.145876994,1.17961926,1.242105712,1.217060719,1.238771204,1.232507506,1.289360904,1.35260853,1.352056571,1.375652101,1.390281088,1.379213864,1.44524567,1.446378513,1.470102342,1.528894385,1.587368385,1.567932309,1.545721297,1.546637172,1.47259005,1.514553971,1.443060291,1.487581485,1.491811906,1.446926686,1.446341856,1.477954401
