country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0381,0.0381,0.0381,0.0381
American Samoa,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.6824,8.684,8.684,8.684,8.684,8.684,8.684
Angola,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
Antigua and Barbuda,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0479,0.0479,0.0479,0.0479,0.0479,0.0479,0.1679,0.1679,0.1679,0.168,0.168,0.168,0.168,0.168,0.168,0.168
Argentina,0.1091,0.1118,0.1207,0.127,0.1897,0.1897,0.1897,0.1899,0.1961,0.458,0.458,0.4582,0.8135,0.8219,0.8219,0.8225,0.8631,0.8631,0.8631,0.8631,0.931,0.931,0.9317,1.1352,1.4865,1.4865
Bangladesh,0.0384,0.0384,0.0384,0.4298,0.4298,0.4298,0.4298,1.055,1.055,1.055,1.055,2.9883,3.1464,3.1464,3.1464,3.1464,3.1464,3.1464,3.1464,3.1464,3.1467,3.1566,3.1744,3.1744,3.1744,5.2168
Barbados,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
Belize,0.251,0.251,0.251,0.251,1.1507,1.153,1.153,3.1355,3.1355,5.188,5.188,6.5226,6.5226,6.6079,6.7585,6.7585,6.7589,6.7589,6.7589,6.7589,6.7589,6.7589,6.7589,9.9495,9.9495,9.9495
Bermuda,0.0312,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0316,0.0328,0.0328,0.0328,0.0328,0.0328,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329
Brazil,0.1717,0.1786,0.6676,0.7281,4.6183,4.6183,4.6183,4.6428,4.7654,4.7654,4.7665,4.8159,4.8224,4.8356,4.932,4.932,4.9475,4.9475,4.9482,4.9482,4.9563,4.9563,4.9563,4.9563,4.9571,4.9571
British Virgin Islands,0.0134,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056
Brunei Darussalam,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155
Bulgaria,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0177,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214
Canada,0.2525,0.2526,0.2529,0.2589,0.2639,0.264,0.2922,0.2929,0.2931,0.3224,0.3224,0.3525,0.3608,0.3608,0.4167,0.4586,0.4801,0.4844,0.5045,0.6254,0.6257,0.7821,0.7821,0.7821,0.7821,0.7821
Cayman Islands,0.0639,0.0639,0.0639,0.0639,0.0639,0.0642,0.0642,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0697,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746
Chile,0.0252,0.0252,0.0252,0.0253,0.0253,0.0253,0.0253,0.029,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0295,0.0455,0.8418,0.8423,0.8423,0.8423,0.8423,4.9631,4.9631,4.9631,4.9631,4.9631
China,0.0454,0.0533,0.0533,0.1502,0.1502,0.1502,0.1502,0.1502,0.1627,0.1845,0.1845,0.2048,0.2048,0.4742,0.4742,0.5247,0.5988,0.5988,0.5988,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489
Colombia,0.2073,0.2073,0.2073,0.2073,0.2073,0.2073,1.6084,1.6084,1.6084,1.6839,1.6839,1.7309,1.7309,1.7309,1.7309,1.7385,6.3083,6.3083,6.3083,6.3083,6.3083,6.3706,6.3706,6.3706,6.3706,6.3706
